ID,Lat,Lon,Name,Population,Population Date
21750062,37.8845813,-4.7760138,Córdoba,286561,2022
21750065,36.7213028,-4.4216366,Málaga,535561,2022
21847490,60.4517531,22.2670522,Turku,194483,2021-01
21904579,52.9212617,-1.4761491,Derby,233700,Unknown
22980865,60.3953913,25.6604862,Porvoo,50667,2021-01
24487450,54.3227085,10.135555,Kiel,246306,Unknown
24913081,52.9534193,-1.1496461,Nottingham,305700,Unknown
24922221,44.648618,-63.5859487,Halifax,403131,Unknown
24960091,40.6574713,-7.9138664,Viseu,57975,2011
24960107,41.5510583,-8.4280045,Braga,136885,2011
25141246,39.049011,-95.677556,Topeka,124331,Unknown
25181326,48.3059078,14.286198,Linz,207812,2021-01-01
25248662,39.9057136,116.3912972,北京市,21893095,2020-11-01
25254928,38.5707742,-7.9092808,Évora,41898,2011
25254929,41.2976935,-7.7457614,Vila Real,27735,2011
25254931,38.5241783,-8.8932341,Setúbal,98131,2011
25254932,39.2911347,-7.4333887,Portalegre,15374,2011
25254933,39.2363637,-8.6867081,Santarém,29777,2011
25254934,39.7437902,-8.8071119,Leiria,50533,2011
25254935,41.8071182,-6.7589839,Bragança,23186,2011
25254936,37.0162727,-7.9351771,Faro,47575,2011
25255070,38.6593167,-27.2195578,Angra do Heroísmo,8654,2011
25255071,32.6496497,-16.9086783,Funchal,111541,2011
25256107,41.098527,-7.8105708,Lamego,11194,2011
25256114,40.60354,-7.7656,Mangualde,6672,2011
25256118,40.3961137,-8.1299564,Santa Comba Dão,3279,2011
25256120,41.01624,-7.7752378,Tarouca,3055,2011
25256123,40.51642,-8.08053,Tondela,8854,2011
25264014,40.9020813,-8.4896358,São João da Madeira,21713,2011
25264015,40.8390118,-8.4777807,Oliveira de Azeméis,15071,2011
25264018,40.9254179,-8.5426688,Santa Maria da Feira,18194,2011
25264852,37.9436517,-7.5966902,Serpa,5164,2011
25264853,38.1409785,-7.4500699,Moura,8016,2011
25264991,41.5314496,-8.6192306,Barcelos,20579,2011
25264995,41.3767158,-8.3083651,Vizela,10633,2011
25268781,41.5362124,-6.9560267,Macedo de Cavaleiros,6054,2011
25268784,41.489615,-7.1774792,Mirandela,11579,2011
25269013,40.2804021,-7.504191,Covilhã,34481,2011
25269220,40.3595402,-7.8617453,Oliveira do Hospital,5572,2011
25269563,38.8057942,-7.4542105,Borba,4026,2011
25269565,38.8432944,-7.586907,Estremoz,7483,2011
25269573,32.722875,-16.7659069,Machico,11505,2011
25270675,37.747009,-25.578405,Lagoa,8080,2011
25270682,37.7393398,-25.6689503,Ponta Delgada,40661,2011
25270684,38.5368032,-28.630109,Horta,5553,2011
25270686,37.8225227,-25.5194914,Ribeira Grande,12663,2011
25270688,38.7309841,-27.0603527,Praia da Vitória,3958,2011
25270771,38.4243996,-7.5347109,Reguengos de Monsaraz,6135,2011
25270774,38.6773855,-8.4552427,Vendas Novas,9681,2011
25277557,37.1894106,-8.4395781,Silves,6307,2011
25277559,37.1362908,-8.4540842,Lagoa,5902,2011
25277566,37.1262493,-7.6499121,Tavira,13312,2011
25277573,37.0270369,-7.8411287,Olhão,28630,2011
25277576,37.1398973,-8.0233126,Loulé,14900,2011
25277577,37.1027964,-8.6728689,Lagos,18474,2011
25277732,40.3518321,-7.0896479,Sabugal,2231,2011
25277735,40.77847,-7.34908,Trancoso,2721,2011
25277736,40.4200998,-7.7028054,Seia,5383,2011
25278379,39.3568749,-9.3786838,Peniche,14700,2011
25278381,39.7495952,-8.9298895,Marinha Grande,10560,2011
25278385,39.9161851,-8.6279171,Pombal,15031,2011
25278431,42.0273051,-8.6404204,Valença,6542,2011
25293125,51.5142273,7.4652789,Dortmund,600933,Unknown
25327151,53.866444,10.684738,Lübeck,212958,Unknown
25342557,51.753051,-0.3379675,St Albans,57795,Unknown
25470100,-33.9618359,25.6186512,Gqeberha,1050000,Unknown
25472086,52.5847651,-2.127567,Wolverhampton,251462,Unknown
25503669,-25.7459277,28.1879101,Pretoria,741651,2011
25508576,56.8787183,14.8094385,Växjö,55600,Unknown
25553427,46.3484884,18.701663,Szekszárd,30057,Unknown
