iter	Passed	Remaining
417	2581	614977
418	2587	615003
419	2594	615032
420	2600	615040
421	2606	615051
422	2612	615014
423	2618	614990
424	2624	614970
425	2630	614889
426	2637	614939
427	2643	614944
428	2649	614850
429	2655	614864
430	2661	614894
431	2667	614888
432	2673	614861
433	2680	614942
434	2686	614986
435	2693	614985
436	2699	614990
437	2705	614912
438	2711	614930
439	2717	614900
440	2723	614912
441	2729	614840
442	2736	614899
443	2742	614910
444	2748	614908
445	2754	614830
446	2760	614835
447	2766	614815
448	2772	614756
449	2779	614844
450	2785	614839
451	2791	614840
452	2798	614868
453	2803	614752
454	2809	614757
455	2816	614750
456	2821	614653
457	2827	614599
458	2833	614583
459	2840	614570
460	2846	614576
461	2852	614577
462	2858	614599
463	2864	614562
464	2870	614545
465	2877	614521
466	2883	614518
467	2889	614484
468	2895	614470
469	2901	614410
470	2907	614385
471	2913	614385
472	2919	614387
473	2926	614403
474	2932	614384
475	2938	614363
476	2944	614348
477	2950	614310
478	2956	614222
479	2962	614170
480	2967	614025
481	2973	614016
482	2980	614045
483	2986	614033
484	2992	614000
485	2998	613970
486	3004	613950
487	3010	613948
488	3016	613897
489	3022	613875
490	3029	613900
491	3035	613944
492	3041	613957
493	3047	613954
494	3054	613969
495	3060	614002
496	3066	614010
497	3073	614026
498	3079	613994
499	3085	614057
500	3091	614061
501	3097	614020
502	3104	614057
503	3110	613995
504	3116	613998
505	3122	614016
506	3129	614070
507	3135	614067
508	3141	614088
509	3147	614069
510	3154	614077
511	3160	614094
512	3169	614583
513	3175	614558
514	3181	614550
515	3187	614477
516	3193	614508
517	3199	614494
518	3205	614435
519	3211	614399
520	3217	614363
521	3224	614407
522	3229	614351
523	3236	614384
524	3242	614366
525	3248	614360
526	3254	614300
527	3260	614307
528	3267	614332
529	3273	614338
530	3279	614282
531	3285	614292
532	3292	614405
533	3298	614357
534	3304	614362
535	3310	614364
536	3322	615479
537	3329	615525
538	3335	615483
539	3341	615441
540	3347	615445
541	3353	615431
542	3360	615507
543	3366	615506
544	3372	615460
545	3378	615379
546	3384	615361
547	3390	615283
548	3396	615269
549	3402	615276
550	3409	615308
551	3415	615351
552	3421	615346
553	3427	615324
554	3433	615259
555	3439	615264
556	3446	615233
557	3452	615257
558	3458	615320
559	3465	615350
560	3471	615280
561	3477	615233
562	3483	615181
563	3489	615146
564	3495	615132
565	3501	615113
566	3507	615078
567	3513	615066
568	3519	615044
569	3525	615059
570	3532	615065
571	3538	615105
572	3544	615096
573	3550	615069
574	3556	615051
575	3562	615005
576	3569	614989
577	3575	615044
578	3581	615062
579	3588	615044
580	3594	615096
581	3600	615099
582	3607	615138
583	3613	615108
584	3619	615098
585	3625	615098
586	3631	615073
587	3638	615092
588	3644	615097
589	3650	615028
590	3656	615023
591	3662	614976
592	3668	614956
593	3674	614990
594	3681	614998
595	3687	615013
596	3693	615014
597	3699	614989
598	3706	615015
599	3712	614964
600	3717	614909
601	3724	614909
602	3730	614912
603	3736	614940
604	3742	614927
605	3749	615008
606	3756	615052
607	3762	615038
608	3768	615003
609	3774	615011
610	3780	615021
611	3786	614972
612	3793	615016
613	3799	614988
614	3805	614991
615	3811	614999
616	3818	615039
617	3824	615074
618	3830	615070
619	3837	615044
620	3843	615004
621	3849	615012
622	3855	615063
623	3862	615098
624	3868	615073
625	3874	615039
626	3880	615089
627	3887	615130
628	3893	615153
629	3900	615194
630	3906	615187
631	3912	615166
632	3918	615120
633	3924	615143
634	3931	615238
635	3937	615230
636	3944	615244
637	3950	615247
638	3956	615266
639	3962	615253
640	3968	615216
