City,DeltaTw,UHI Com,UDI Com,DN,Number of Pairs
Maringa,-0.195096961,0.099241568,-0.28270566,Night,1
Xihua County,-0.175734558,0.054824233,-0.218662314,Night,1
Huairen,-0.157529085,0.144045674,-0.291105836,Night,1
Itapeva,-0.119699876,0.252348786,-0.36228058,Night,1
Bloemfontein,-0.114158228,0.382929468,-0.476125858,Night,1
Qufu,-0.104201732,0.34678668,-0.435162595,Night,1
Zhoukou,-0.070309013,0.314030793,-0.377289539,Night,1
Tianjin,-0.045174977,-0.143474723,0.109940683,Night,1
Songzi,-0.038941246,0.013594006,-0.035585761,Night,1
Anshan,-0.023136613,0.588415826,-0.585039277,Night,1
"Houston, TX",-0.021539381,0.476853642,-0.484373416,Night,1
Wulian County,0.060620473,0.18792564,-0.118027317,Night,1
Tianjin,0.138074452,0.040201043,0.128448697,Night,1
Anlu,0.152156682,0.264226626,-0.098983692,Night,1
Longxi County,0.1994631,0.309996092,-0.09670137,Night,1
Accra,0.226870296,-0.10094286,0.331765288,Night,1
Yuncheng County,0.231038002,0.120278102,0.126577,Night,1
Kumasi,0.233176472,0.255959701,-0.014416745,Night,1
"Oklahoma City, OK",0.26953082,0.393950088,-0.118429736,Night,1
Changyuan,0.302626436,0.324252873,0.001612241,Night,1
Strasbourg,0.310492777,0.312631785,0.008041942,Night,1
Zurich,0.352981485,-0.100996406,0.466452956,Night,1
Limoges,0.359961309,0.394332442,-0.0151044,Night,1
Sheffield,0.367637948,0.505844235,-0.12444864,Night,1
Jena,0.375634127,0.027189399,0.357332227,Night,1
Birmingham,0.414765886,0.355440619,0.070754988,Night,15
Toronto,0.418320388,0.556030661,-0.126678479,Night,2
Georgiyevsk,0.432916185,0.378680033,0.06696602,Night,1
Morelia,0.438543991,0.710185006,-0.234601243,Night,1
Rovaniemi,0.463681778,0.097968373,0.373025003,Night,1
Graz,0.463721615,0.014113472,0.467063334,Night,1
Frankfurt,0.486995593,0.796077537,-0.284092197,Night,1
Munich,0.549448742,0.23754561,0.324275742,Night,1
Hamilton,0.566542305,0.921263699,-0.315751078,Night,1
Shaoxing,0.574682871,0.274819875,0.316312038,Night,1
Montreal,0.602682705,0.998239485,-0.36634262,Night,1
Uppsala,0.669625127,0.565956824,0.12228199,Night,1
Vienna,0.696140519,0.903708106,-0.182861995,Night,1
Kampala,0.753389933,0.304268927,0.467493248,Night,1
Pori,0.774281847,0.204294778,0.596840256,Night,1
